Stanje na računu,Trajanje računa,Istorija kredita,Svrha uzimanja,Iznos kredita,Račun za štednju,Zaposlenost,Kamata – u procentima od tekućih prihoda,Pol i bračni staus,Žirant Ko-aplikant,Prebivalište (u godinama),Imovina,Godine starosti,Plaćanje u ratama,Stan/Kuća,Postojeći kredit u ovoj banci,Vrsta posla,Izdržavani: broj lica koji zavise od prihoda aplikanta,Telefon,Radnik stranac,Odobren kredit
<0 DM,24,drugi krediti plaćani na vreme,automobil (polovan),2812,nema račun za štednju,>=7 godina,2,"žensko, udata/razvedena",nema,4,poseduje nekretninu,26,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,36,kritičan račun,obrazovanje,8065,<100 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,2,nema,25,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,21,kritičan račun,automobil (polovan),3275,<100 DM,>=7 godina,1,"muško, neoženjen",nema,4,automobil ili drugo,36,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,kritičan račun,muzička tehnika/televizija,2223,100 <= <500 DM,>=7 godina,4,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,52,banka,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,12,kritičan račun,automobil (nov),1480,500 <= < 1000 DM,nezaposlen,2,"muško, neoženjen",nema,4,nema,66,banka,živi besplatno,3,nezposlen/nema zvanično obrazovanje,1,nema,da,Da
<0 DM,24,drugi krediti plaćani na vreme,automobil (nov),1371,nema račun za štednju,1<= < 4 godina,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,25,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,36,kritičan račun,automobil (nov),3535,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,37,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,3509,<100 DM,4<= <7 godina,4,"žensko, udata/razvedena",žirant,1,poseduje nekretninu,25,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,36,kritičan račun,automobil (polovan),5711,>= 1000 DM,>=7 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,38,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,18,drugi krediti plaćani na vreme,popravka,3872,<100 DM,nezaposlen,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,67,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,39,kritičan račun,muzička tehnika/televizija,4933,<100 DM,4<= <7 godina,2,"muško, neoženjen",žirant,2,poseduje nekretninu,25,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,kritičan račun,automobil (nov),1940,>= 1000 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,60,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,12,nema uzetih kredita,prekvalifikovanje,1410,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,poseduje nekretninu,31,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,automobil (nov),836,100 <= <500 DM,<=1 godina,4,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,23,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
0 <= <200 DM,20,drugi krediti plaćani na vreme,automobil (polovan),6468,nema račun za štednju,nezaposlen,1,"muško, razveden",nema,4,poseduje nekretninu,60,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,18,drugi krediti plaćani na vreme,biznis,1941,>= 1000 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,35,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
nema računa u ovoj banci,22,drugi krediti plaćani na vreme,muzička tehnika/televizija,2675,500 <= < 1000 DM,>=7 godina,3,"muško, neoženjen",nema,4,automobil ili drugo,40,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,48,kritičan račun,automobil (polovan),2751,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,3,automobil ili drugo,38,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
0 <= <200 DM,48,kašnjenje sa uplatama,obrazovanje,6224,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,50,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,40,kritičan račun,obrazovanje,5998,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,3,nema,27,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
0 <= <200 DM,21,drugi krediti plaćani na vreme,biznis,1188,<100 DM,>=7 godina,2,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,39,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (polovan),6313,nema račun za štednju,>=7 godina,3,"muško, neoženjen",nema,4,automobil ili drugo,41,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,ima,da,Da
nema računa u ovoj banci,6,kritičan račun,nameštaj,1221,nema račun za štednju,1<= < 4 godina,1,"muško, oženjen/udovac",nema,2,ulaganje u nekretnine/životno osiguranje,27,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,24,drugi krediti plaćani na vreme,nameštaj,2892,<100 DM,>=7 godina,3,"muško, razveden",nema,4,nema,51,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,nameštaj,3062,500 <= < 1000 DM,>=7 godina,4,"muško, neoženjen",nema,3,nema,32,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,9,drugi krediti plaćani na vreme,nameštaj,2301,100 <= <500 DM,<=1 godina,2,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,22,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,18,drugi krediti plaćani na vreme,automobil (polovan),7511,nema račun za štednju,>=7 godina,1,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,51,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,2,ima,da,Ne
nema računa u ovoj banci,12,kritičan račun,nameštaj,1258,<100 DM,<=1 godina,2,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,22,nema,stanarina,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,24,kašnjenje sa uplatama,automobil (nov),717,nema račun za štednju,>=7 godina,4,"muško, oženjen/udovac",nema,4,automobil ili drugo,54,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,9,drugi krediti plaćani na vreme,automobil (nov),1549,nema račun za štednju,<=1 godina,4,"muško, neoženjen",nema,2,poseduje nekretninu,35,nema,poseduje,1,nezposlen/nema zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,kritičan račun,obrazovanje,1597,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,54,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
0 <= <200 DM,18,kritičan račun,muzička tehnika/televizija,1795,<100 DM,>=7 godina,3,"žensko, udata/razvedena",žirant,4,poseduje nekretninu,48,banka,stanarina,2,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
<0 DM,20,kritičan račun,nameštaj,4272,<100 DM,>=7 godina,1,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,24,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,12,kritičan račun,muzička tehnika/televizija,976,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,35,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,automobil (nov),7472,nema račun za štednju,nezaposlen,1,"žensko, udata/razvedena",nema,2,poseduje nekretninu,24,nema,stanarina,1,nezposlen/nema zvanično obrazovanje,1,nema,da,Da
<0 DM,36,drugi krediti plaćani na vreme,automobil (nov),9271,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,1,automobil ili drugo,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
0 <= <200 DM,6,drugi krediti plaćani na vreme,muzička tehnika/televizija,590,<100 DM,<=1 godina,3,"muško, oženjen/udovac",nema,3,poseduje nekretninu,26,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,ne,Da
nema računa u ovoj banci,12,kritičan račun,muzička tehnika/televizija,930,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,65,nema,poseduje,4,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,42,svi krediti u ovoj banci vraćeni na vreme,automobil (polovan),9283,<100 DM,nezaposlen,1,"muško, neoženjen",nema,2,nema,55,banka,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,15,nema uzetih kredita,automobil (nov),1778,<100 DM,<=1 godina,2,"žensko, udata/razvedena",nema,1,poseduje nekretninu,26,nema,stanarina,2,nezposlen/nema zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,8,drugi krediti plaćani na vreme,biznis,907,<100 DM,<=1 godina,3,"muško, oženjen/udovac",nema,2,poseduje nekretninu,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,6,drugi krediti plaćani na vreme,muzička tehnika/televizija,484,<100 DM,4<= <7 godina,3,"muško, oženjen/udovac",žirant,3,poseduje nekretninu,28,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,36,kritičan račun,automobil (polovan),9629,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,24,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
<0 DM,48,drugi krediti plaćani na vreme,bela tehnika,3051,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,4,automobil ili drugo,54,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,48,drugi krediti plaćani na vreme,automobil (nov),3931,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,4,nema,46,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
0 <= <200 DM,36,kašnjenje sa uplatama,automobil (nov),7432,<100 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,54,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,6,drugi krediti plaćani na vreme,bela tehnika,1338,500 <= < 1000 DM,1<= < 4 godina,1,"muško, razveden",nema,4,poseduje nekretninu,62,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,6,kritičan račun,muzička tehnika/televizija,1554,<100 DM,4<= <7 godina,1,"žensko, udata/razvedena",nema,2,automobil ili drugo,24,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,36,drugi krediti plaćani na vreme,ostalo,15857,<100 DM,nezaposlen,2,"muško, razveden",ko-aplikant,3,automobil ili drugo,43,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Da
<0 DM,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,1345,<100 DM,1<= < 4 godina,4,"muško, oženjen/udovac",nema,3,poseduje nekretninu,26,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,automobil (nov),1101,<100 DM,1<= < 4 godina,3,"muško, oženjen/udovac",nema,2,poseduje nekretninu,27,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
>= 200 DM ,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,3016,<100 DM,1<= < 4 godina,3,"muško, oženjen/udovac",nema,1,automobil ili drugo,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,36,drugi krediti plaćani na vreme,nameštaj,2712,<100 DM,>=7 godina,2,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,41,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
<0 DM,8,kritičan račun,automobil (nov),731,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,47,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,18,kritičan račun,nameštaj,3780,<100 DM,<=1 godina,3,"muško, razveden",nema,2,automobil ili drugo,35,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
<0 DM,21,kritičan račun,automobil (nov),1602,<100 DM,>=7 godina,4,"muško, oženjen/udovac",nema,3,automobil ili drugo,30,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,18,kritičan račun,automobil (nov),3966,<100 DM,>=7 godina,1,"žensko, udata/razvedena",nema,4,poseduje nekretninu,33,banka,stanarina,3,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,18,nema uzetih kredita,biznis,4165,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,36,radnja,poseduje,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
<0 DM,36,drugi krediti plaćani na vreme,automobil (polovan),8335,nema račun za štednju,>=7 godina,3,"muško, neoženjen",nema,4,nema,47,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,48,kašnjenje sa uplatama,biznis,6681,nema račun za štednju,1<= < 4 godina,4,"muško, neoženjen",nema,4,nema,38,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
nema računa u ovoj banci,24,kašnjenje sa uplatama,biznis,2375,500 <= < 1000 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,44,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
<0 DM,18,drugi krediti plaćani na vreme,automobil (nov),1216,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,3,automobil ili drugo,23,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
<0 DM,45,nema uzetih kredita,biznis,11816,<100 DM,>=7 godina,2,"muško, neoženjen",nema,4,automobil ili drugo,29,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,5084,nema račun za štednju,>=7 godina,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,42,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
>= 200 DM ,15,drugi krediti plaćani na vreme,muzička tehnika/televizija,2327,<100 DM,<=1 godina,2,"žensko, udata/razvedena",nema,3,poseduje nekretninu,25,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
<0 DM,12,nema uzetih kredita,automobil (nov),1082,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,48,banka,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,886,nema račun za štednju,1<= < 4 godina,4,"žensko, udata/razvedena",nema,2,automobil ili drugo,21,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,4,drugi krediti plaćani na vreme,nameštaj,601,<100 DM,<=1 godina,1,"žensko, udata/razvedena",nema,3,poseduje nekretninu,23,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
<0 DM,24,kritičan račun,automobil (polovan),2957,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,63,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,kritičan račun,muzička tehnika/televizija,2611,<100 DM,>=7 godina,4,"muško, oženjen/udovac",ko-aplikant,3,poseduje nekretninu,46,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,36,drugi krediti plaćani na vreme,nameštaj,5179,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,29,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,21,kašnjenje sa uplatama,automobil (polovan),2993,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,2,poseduje nekretninu,28,radnja,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,popravka,1943,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,23,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,svi krediti u ovoj banci vraćeni na vreme,biznis,1559,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,50,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,nameštaj,3422,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,47,banka,poseduje,3,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
0 <= <200 DM,21,drugi krediti plaćani na vreme,nameštaj,3976,nema račun za štednju,4<= <7 godina,2,"muško, neoženjen",nema,3,automobil ili drugo,35,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,automobil (nov),6761,nema račun za štednju,1<= < 4 godina,2,"muško, neoženjen",nema,4,automobil ili drugo,68,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (nov),1249,<100 DM,<=1 godina,4,"muško, oženjen/udovac",nema,2,poseduje nekretninu,28,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,9,drugi krediti plaćani na vreme,muzička tehnika/televizija,1364,<100 DM,4<= <7 godina,3,"muško, neoženjen",nema,4,poseduje nekretninu,59,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,709,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,57,radnja,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
<0 DM,20,kritičan račun,automobil (nov),2235,<100 DM,1<= < 4 godina,4,"muško, oženjen/udovac",žirant,2,ulaganje u nekretnine/životno osiguranje,33,banka,stanarina,2,zaposlen i ima zvanično obrazovanje,1,nema,ne,Ne
nema računa u ovoj banci,24,kritičan račun,automobil (polovan),4042,nema račun za štednju,4<= <7 godina,3,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,43,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,15,kritičan račun,muzička tehnika/televizija,1471,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,nema,35,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,18,svi krediti u ovoj banci vraćeni na vreme,automobil (nov),1442,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,4,nema,32,nema,živi besplatno,2,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Ne
nema računa u ovoj banci,36,kašnjenje sa uplatama,automobil (nov),10875,<100 DM,>=7 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,45,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (nov),1474,100 <= <500 DM,<=1 godina,4,"muško, oženjen/udovac",nema,3,poseduje nekretninu,33,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,10,drugi krediti plaćani na vreme,prekvalifikovanje,894,nema račun za štednju,4<= <7 godina,4,"žensko, udata/razvedena",nema,3,ulaganje u nekretnine/životno osiguranje,40,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,15,kritičan račun,nameštaj,3343,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,nema,28,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,15,drugi krediti plaćani na vreme,automobil (nov),3959,<100 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,29,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,9,drugi krediti plaćani na vreme,automobil (nov),3577,100 <= <500 DM,1<= < 4 godina,1,"muško, neoženjen",žirant,2,poseduje nekretninu,26,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,2,nema,ne,Da
nema računa u ovoj banci,24,kritičan račun,automobil (polovan),5804,>= 1000 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,poseduje nekretninu,27,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,18,kašnjenje sa uplatama,biznis,2169,<100 DM,1<= < 4 godina,4,"muško, oženjen/udovac",nema,2,automobil ili drugo,28,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
<0 DM,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,2439,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,35,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,27,kritičan račun,nameštaj,4526,>= 1000 DM,<=1 godina,4,"muško, neoženjen",nema,2,poseduje nekretninu,32,radnja,poseduje,2,nema zvanično obrazovanje: ima stalan posao,2,ima,da,Da
nema računa u ovoj banci,10,drugi krediti plaćani na vreme,nameštaj,2210,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,poseduje nekretninu,25,banka,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,15,drugi krediti plaćani na vreme,nameštaj,2221,500 <= < 1000 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,20,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,2389,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,1,automobil ili drugo,27,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,12,kritičan račun,nameštaj,3331,<100 DM,>=7 godina,2,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,42,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,biznis,7409,nema račun za štednju,>=7 godina,3,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,37,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,652,<100 DM,>=7 godina,4,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,24,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,36,kašnjenje sa uplatama,nameštaj,7678,500 <= < 1000 DM,4<= <7 godina,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,40,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
>= 200 DM ,6,kritičan račun,automobil (nov),1343,<100 DM,>=7 godina,1,"muško, neoženjen",nema,4,poseduje nekretninu,46,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,2,nema,ne,Da
<0 DM,24,kritičan račun,biznis,1382,100 <= <500 DM,4<= <7 godina,4,"muško, neoženjen",nema,1,poseduje nekretninu,26,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,15,drugi krediti plaćani na vreme,bela tehnika,874,nema račun za štednju,<=1 godina,4,"žensko, udata/razvedena",nema,1,poseduje nekretninu,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,3590,<100 DM,1<= < 4 godina,2,"muško, neoženjen",ko-aplikant,2,ulaganje u nekretnine/životno osiguranje,29,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
0 <= <200 DM,11,kritičan račun,automobil (nov),1322,>= 1000 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,4,automobil ili drugo,40,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,18,svi krediti u ovoj banci vraćeni na vreme,muzička tehnika/televizija,1940,<100 DM,<=1 godina,3,"muško, neoženjen",ko-aplikant,4,nema,36,banka,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,3595,<100 DM,>=7 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,28,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,9,drugi krediti plaćani na vreme,automobil (nov),1422,<100 DM,<=1 godina,3,"muško, neoženjen",nema,2,nema,27,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,30,kritičan račun,muzička tehnika/televizija,6742,nema račun za štednju,4<= <7 godina,2,"muško, neoženjen",nema,3,ulaganje u nekretnine/životno osiguranje,36,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (polovan),7814,<100 DM,4<= <7 godina,3,"muško, neoženjen",nema,3,automobil ili drugo,38,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (polovan),9277,nema račun za štednju,1<= < 4 godina,2,"muško, razveden",nema,4,nema,48,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,30,kritičan račun,automobil (nov),2181,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,36,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
